date,ticker,open,high,low,close,volume
2022-01-04 07:00:00,SSI,31.73,32.27,31.36,32.03,16445000
2022-01-05 07:00:00,SSI,32.03,32.57,31.73,31.91,15701400
2022-01-06 07:00:00,SSI,31.67,32.03,31.36,31.36,13248000
2022-01-07 07:00:00,SSI,31.24,31.73,30.94,31.18,13974400
2022-01-10 07:00:00,SSI,31.18,31.42,29.94,29.94,17471200
2022-01-11 07:00:00,SSI,30.03,30.58,29.01,29.07,15601500
2022-01-12 07:00:00,SSI,29.31,30.52,29.07,30.52,15464300
2022-01-13 07:00:00,SSI,30.82,30.88,29.52,29.52,11392500
2022-01-14 07:00:00,SSI,29.28,29.88,29.19,29.43,6678400
2022-01-17 07:00:00,SSI,29.31,29.55,27.38,27.38,32346300
2022-01-18 07:00:00,SSI,26.77,27.25,25.47,25.56,15992300
2022-01-19 07:00:00,SSI,26.53,27.32,26.2,27.32,11085500
2022-01-20 07:00:00,SSI,27.44,27.92,26.86,27.62,9055600
2022-01-21 07:00:00,SSI,27.32,27.56,26.71,26.92,8527900
2022-01-24 07:00:00,SSI,26.47,26.77,25.05,25.05,18790500
2022-01-25 07:00:00,SSI,24.78,25.92,24.72,25.86,10236600
2022-01-26 07:00:00,SSI,25.98,26.23,25.62,25.65,8416100
2022-01-27 07:00:00,SSI,25.68,26.89,25.44,26.23,7544500
2022-01-28 07:00:00,SSI,26.17,27.22,26.11,27.22,7793600
2022-02-07 07:00:00,SSI,27.8,28.34,27.38,27.71,9690500
2022-02-08 07:00:00,SSI,27.5,27.86,27.19,27.59,6658100
2022-02-09 07:00:00,SSI,27.38,27.98,27.38,27.62,8230800
2022-02-10 07:00:00,SSI,27.68,27.74,26.95,27.25,6996200
2022-02-11 07:00:00,SSI,27.19,27.59,27.07,27.25,5557600
2022-02-14 07:00:00,SSI,26.89,27.01,26.35,26.35,10485300
2022-02-15 07:00:00,SSI,26.71,27.01,26.2,26.71,5733800
2022-02-16 07:00:00,SSI,27.01,27.25,26.77,27.13,4864700
2022-02-17 07:00:00,SSI,27.07,27.28,27.07,27.19,5870700
2022-02-18 07:00:00,SSI,26.89,27.68,26.83,27.32,9386200
2022-02-21 07:00:00,SSI,27.38,28.04,27.38,27.8,10975700
2022-02-22 07:00:00,SSI,27.38,27.62,26.89,27.19,7703800
2022-02-23 07:00:00,SSI,27.32,27.56,27.32,27.38,5632600
2022-02-24 07:00:00,SSI,27.25,27.8,26.26,26.95,12752500
2022-02-25 07:00:00,SSI,27.19,28.13,27.07,27.62,15679600
2022-02-28 07:00:00,SSI,27.68,28.16,27.59,27.62,7527000
2022-03-01 07:00:00,SSI,27.8,27.98,27.44,27.8,8804700
2022-03-02 07:00:00,SSI,27.56,27.71,26.92,27.07,12606700
2022-03-03 07:00:00,SSI,27.19,27.5,26.89,27.5,8443700
2022-03-04 07:00:00,SSI,27.8,28.64,27.77,28.16,20515200
2022-03-07 07:00:00,SSI,27.86,28.31,27.65,28.28,11608800
2022-03-08 07:00:00,SSI,28.1,29.13,27.86,28.4,24333500
2022-03-09 07:00:00,SSI,28.58,28.7,27.74,28.16,12310400
